2024_11_13_T17:16:18 -  finished initateHouses in 0.8327710628509521 seconds
2024_11_13_T17:16:19 -  finished initiateHouseholds in 1.0591039657592773 seconds
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
2024_11_13_T17:16:19 -  All houses for rental were assigned in Amadora
